DAX Company,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you_total,you_sing,you_plur,you_formal,other,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Adidas,1,2026,99,64.22,1,21.21,15.58,17.08,21.87,6.42,1.23,0,0,0,0,0,0,0,0,0,0,1.23,0,2.12,0.59,0.44,0.35,1.14,1.28,0.84,0,1.14,0.44,0.64,1.88,1.04,0.84,0.44,0,0.1,2.67,0,0.05,0,0,1.18,0.1,0.44,0.54,0,0.1,0,0.2,0.2,0,0,0.44,0.15,0.2,0,0,1.83,1.14,0.35,0.15,0.1,0.1,0.54,0.44,0,3.65,0.05,2.76,0.84,2.02,3.21,0.3,0.99,0,0,10.37,0,8.44,0.05,0,0,15.94,5.73,5.43,0.1,0,0.64,0.05,0.64,0.25,3.06,0,0.05
Airbus,1,1284,99,64.06,1,18.85,80.25,34.66,31.15,3.19,0.16,0,0,0,0,0,0,0,0,0,0,0.16,0,2.65,0,0.16,0,0.23,0.23,1.09,0,0.16,14.41,0.08,1.01,0.55,0.47,0.47,0.08,0,1.25,0,0,0,0,1.48,0.55,0.55,0,0.08,0.23,0,0.08,0,0.08,0,0.39,0,0.39,0,0,1.64,0.62,0.55,0.47,0.08,0.08,0.16,0.08,0.08,4.36,0,2.96,1.4,2.57,0.78,0,1.01,0,0,7.01,0,5.92,0,0,0,24.38,4.21,5.06,1.48,1.48,0,0,1.64,1.56,0.55,3.58,4.83
Allianz SE,1,3978,94.85,93.48,42.72,86.25,16.24,37.13,86.6,49.55,14.38,10.43,1.03,6.91,0.1,0,0.1,0,1.94,1.76,1.21,3.19,11.04,13.4,4.95,4.07,10.41,0.5,10.48,6.46,2.26,0.55,4.2,2.87,4.85,3.77,0.9,0.18,0.1,0.45,13.4,0.05,0.6,0.18,0.55,13.9,1.56,2.41,0.8,1.89,2.87,2.26,1.56,0.63,0.58,0.25,2.09,0.08,0.75,0.18,0,17.3,9,5.18,2.59,1.56,1.01,1.99,2.82,1.51,19.26,2.01,10.78,7.49,10.06,0.38,0.2,3.52,0.18,0.05,0.4,0,0.08,0,0,0,14.35,6.08,4.1,1.36,0.05,0.05,0.15,1.03,0.5,0,0.65,0.38
BASF,1,4519,86.85,93.27,51.09,93.98,10.56,31.18,83.51,51.78,15,10,0.82,6.93,0.18,0.11,0.07,0,1.77,1.53,1.28,3.14,9.76,14.98,6.77,4.56,11.82,0.89,12.57,7.92,1.99,0.77,3.21,2.68,5.44,4.49,0.97,0.11,0.13,0.6,13.92,0.04,0.31,0.2,0.4,14.27,2.12,2.74,1.66,1.73,3.05,2.7,1.48,0.6,0.15,0.53,2.68,0.35,0.38,0.38,0.09,17.44,8.17,5.6,3.28,1.24,0.75,1.42,4.54,1.42,20.07,2.35,12.06,6.9,6,0.58,0.11,2.52,0.22,0.09,0.4,0,0,0,0,0.02,15.4,8.96,2.99,1.08,0,0.15,0.6,1.39,0.07,0,0,0.15
Bayer AG,1,3969,95.51,90.22,60.63,91.63,15.32,34.95,84.61,49.71,12.75,8.57,1.23,5.59,0.1,0.08,0.03,0,1.41,1.28,0.78,3.15,9.8,14.87,6.05,4.26,10.58,0.33,12.12,7.86,2.52,1.01,4.01,3.1,4.94,4.08,0.81,0.2,0.23,0.25,12.3,0.08,0.28,0.2,0.28,14.13,1.56,2.49,0.93,1.89,2.8,2.37,1.16,0.5,0.3,0.23,2.87,0.45,0.81,0.2,0.35,15.12,6.73,5.62,2.19,1.46,0.63,2.09,3.85,1.23,20.71,2.57,12.02,7.48,6.68,0.45,0.08,2.87,0.03,0.08,0.63,0,0.08,0.03,0,0,14.76,6.2,4.36,0.68,0,0.35,0.05,2.22,0.23,0,0.28,0.4
Beiersdorf,1,2708,89.07,93.4,60.13,98.44,13.89,33.75,84.16,49.26,13.7,9.93,1.07,7.35,0.04,0,0.04,0,0.96,0.85,0.63,2.7,9.34,13.15,6.02,4.36,11.37,0.37,11.93,6.46,2.07,0.3,4.47,3.14,5.5,4.91,0.52,0.11,0.04,0.3,12.7,0.15,0.26,0.44,0.52,11.89,1.7,1.99,0.92,1.44,2.55,2.33,0.96,0.52,0.18,0.18,2.1,0.44,0.52,0.26,0.04,16.58,8.23,5.13,2.33,2.14,0.52,2.88,2.99,1.7,20.27,3.06,11.08,7.24,7.09,0.7,0.07,2.7,0.18,0.04,0.48,0,0,0.07,0,0,16.29,7.16,4.54,1.11,0,0.04,0.33,2.77,0.04,0,0,0.3
Brenntag,1,100,98.96,73.67,1,,33.33,31,71,10,4,2,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,0,4,0,0,0,43,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,2,0,6,1,1,0,4,0,0,0,4,1,0,0,0,0,1,0,2,0,4,2,0,2,8,0,0,4,1,0,0,0,0,0,0,0,33,5,4,4,0,0,0,1,0,0,2,17
Commerzbank,1,3805,86.45,85.44,50.15,84.08,15.1,30.96,86.57,51.27,13.01,7.73,0.84,4.47,0.16,0,0.16,0,2.08,1.87,1.66,3.71,10.96,13.32,7.28,5.55,11.91,1,12.9,9.22,2.84,0.79,3.44,3.42,5.55,4.07,1.34,0.32,0.18,0.55,12.25,0,0.16,0.47,0.39,15.01,1.71,2.39,1.31,2.26,4.2,3.39,1.26,0.58,0.24,0.37,2.92,0.26,0.42,0.26,0,14.51,5.26,5.36,3,1.39,1.18,2.34,4.7,1.6,19.66,2,10.14,8.86,7.41,0.39,0.13,3.52,0.21,0.18,0.76,0,0,0.11,0,0.05,15.53,6.49,5.49,0.76,0.03,0,0.21,1.97,0.08,0,0,0.5
Covestro AG,1,3855,91.91,87.9,46.33,94.88,12.6,34.73,81.09,47.26,12.35,7.6,0.86,4.75,0.13,0.05,0.08,0,1.32,1.19,0.93,3.19,9.31,13.2,5.65,4.31,11.62,0.47,11.34,7.96,1.79,0.6,3.4,3.45,5.5,4.54,0.91,0.1,0.03,0.49,11.39,0,0.18,0.39,0.44,14.09,1.43,2.62,1.66,1.63,2.96,2.44,1.48,0.88,0.23,0.26,2.23,0.1,0.36,0.29,0,13.8,5.4,4.93,2.49,1.12,0.93,1.69,3.71,1.63,20.1,3.04,11.54,6.74,5.71,0.42,0.13,2.88,0.18,0.08,0.73,0,0.03,0.1,0,0.03,15.1,8.02,4.23,1.35,0,0,0.16,0.91,0.13,0,0.21,0.1
Daimler Truck,1,3756,78.29,92.66,57.61,96.35,16.05,32.51,83.49,51.94,14.4,9.74,0.75,7.43,0.05,0,0.05,0,1.22,1.04,0.69,3.51,8.73,13.66,7.16,5.32,11.85,0.85,12.43,8.6,2.08,0.85,3.35,4.05,5.38,4.61,0.75,0.16,0.08,0.48,13.02,0,0.27,0.21,0.21,15.34,1.92,2.82,1.84,1.76,4.39,3.04,1.36,0.69,0.35,0.24,2.18,0.19,0.16,0.21,0.03,17.23,8.04,6.5,2.08,2.02,0.51,1.17,3.89,2.18,20.47,2.93,10.62,8.57,6.04,0.8,0.05,2.1,0.24,0.05,0.88,0,0,0.27,0,0,14.16,6.15,4.42,1.17,0.05,0,0.05,2.32,0,0,0,0
